series_id,model,mean_smape,std_smape
50,CatBoost (Direct ML),5.269079821898926,0.9237695679985725
50,Stacking Ensemble,11.465451191371196,2.057427327054596
51,AutoTheta (Local Stat),14.648339733279515,0.9461255508238405
51,CatBoost (Direct ML),3.4444702347327607,1.128437746675
51,Stacking Ensemble,7.625999303759985,1.3751944547224086
52,AutoTheta (Local Stat),18.88009394494369,1.473702494418813
52,CatBoost (Direct ML),5.091581685002189,0.9822165941577946
52,Stacking Ensemble,11.157856030293509,0.5219659558973176
53,AutoTheta (Local Stat),24.476790721599972,1.1160193445278526
53,CatBoost (Direct ML),6.954952119912215,2.4275311597087983
53,Stacking Ensemble,14.50828696003349,0.35035794906191814
54,AutoTheta (Local Stat),12.651350714385842,0.994878059190817
54,CatBoost (Direct ML),5.108215939941425,1.2307646985733895
54,Stacking Ensemble,8.585308547428282,0.7242731060072494
55,AutoTheta (Local Stat),17.12414757981938,1.6206862293509467
55,CatBoost (Direct ML),4.117678972995243,0.7596634426934835
55,Stacking Ensemble,10.031959621430138,1.293612220369961
56,AutoTheta (Local Stat),15.387672031890121,0.560529383844717
56,CatBoost (Direct ML),3.842043351591347,1.06643755108474
56,Stacking Ensemble,8.933979063278004,0.25012341349951106
57,AutoTheta (Local Stat),12.665302724356346,1.8743605617048713
57,CatBoost (Direct ML),4.182377713318922,0.7432205869395432
57,Stacking Ensemble,8.00056987797745,1.2248415135880948
58,AutoTheta (Local Stat),9.999284655343748,1.338225090447431
58,CatBoost (Direct ML),3.2470659454509345,0.47321967487620764
58,Stacking Ensemble,5.645471352980877,1.0163695708754494
59,AutoTheta (Local Stat),24.40133463705716,2.8201790306589305
59,CatBoost (Direct ML),7.614078900904356,2.4236902948709846
59,Stacking Ensemble,15.688812981156937,2.5128957165352728
60,AutoTheta (Local Stat),29.32756952170431,1.5358219649710116
60,CatBoost (Direct ML),9.090190570635494,3.430262600747892
60,Stacking Ensemble,18.672708808848963,2.0804050408366774
61,AutoTheta (Local Stat),47.46047502344271,13.693119124562385
61,CatBoost (Direct ML),37.769585757128816,15.922319389510026
61,Stacking Ensemble,36.41004881337221,19.120173347504174
62,AutoTheta (Local Stat),4.98897083858273,0.6778201417439395
62,CatBoost (Direct ML),1.660551930812738,0.37336851343544275
62,Stacking Ensemble,2.9464479641629535,0.5413675644732663
63,AutoTheta (Local Stat),33.938714172123845,1.5174403099077598
63,CatBoost (Direct ML),6.051734504516186,3.3569459778886044
63,Stacking Ensemble,20.173638651935963,1.047297819758493
64,AutoTheta (Local Stat),30.167255410527158,5.110880481761649
64,CatBoost (Direct ML),5.613693705161496,2.8757493731441315
64,Stacking Ensemble,13.265782763560464,2.922226544956813
65,AutoTheta (Local Stat),24.825289272102307,2.7777584497660994
65,CatBoost (Direct ML),6.265960134992462,2.0080368927114822
65,Stacking Ensemble,14.8017030394982,1.282249015895353
66,AutoTheta (Local Stat),19.11830261342039,1.0453352798609135
66,CatBoost (Direct ML),2.568222057933814,0.41178635576779427
66,Stacking Ensemble,10.250905010771854,0.8868211757395146
67,AutoTheta (Local Stat),15.049806585461164,0.522666441992221
67,CatBoost (Direct ML),4.531864843759955,0.6858266462387057
67,Stacking Ensemble,9.05294727396189,0.577788190690345
68,AutoTheta (Local Stat),24.879627163011833,1.5402584504689336
68,CatBoost (Direct ML),9.908774258879673,0.9562959012298826
68,Stacking Ensemble,17.410149301631034,1.1096817760655704
69,AutoTheta (Local Stat),27.620289830404232,1.6576922457285759
69,CatBoost (Direct ML),7.453598303782272,3.8075747926381074
69,Stacking Ensemble,16.04216546594186,2.5115665179837916
70,AutoTheta (Local Stat),11.67191115314287,1.924873006008785
70,CatBoost (Direct ML),4.695975688992197,1.1073578549033074
70,Stacking Ensemble,6.841201615384023,2.0885036446506935
71,AutoTheta (Local Stat),53.23365545263848,16.53528694618396
71,CatBoost (Direct ML),33.95645590301422,4.148178947703473
71,Stacking Ensemble,40.913246883007325,10.856362676632065
72,AutoTheta (Local Stat),30.03312024218937,1.3805897744789537
72,CatBoost (Direct ML),14.371582874030912,2.7588096541993608
72,Stacking Ensemble,20.042811236578313,2.8699824119780026
73,AutoTheta (Local Stat),22.38367405917511,0.9868250887393086
73,CatBoost (Direct ML),12.546853546121062,2.2107405301570227
73,Stacking Ensemble,16.2885686463178,1.7820916249620242
74,AutoTheta (Local Stat),24.577940100056253,1.3990101806473039
74,CatBoost (Direct ML),4.452541303454146,1.7298268447399177
74,Stacking Ensemble,14.15477700352258,1.4862733244729627
75,AutoTheta (Local Stat),31.662345221407136,3.1521146372775735
75,CatBoost (Direct ML),15.208693282680068,1.0883513425039486
75,Stacking Ensemble,24.550706658238592,2.6924597368349072
76,AutoTheta (Local Stat),32.280697478054535,3.9395422696196474
